time,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,lctrl_pos_x,lctrl_pos_y,lctrl_pos_z,lctrl_rot_x,lctrl_rot_y,lctrl_rot_z,rctrl_pos_x,rctrl_pos_y,rctrl_pos_z,rctrl_rot_x,rctrl_rot_y,rctrl_rot_z
0.9639,0.035505,1.564966,0.295051,31.375910,289.546400,351.072100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.307633,1.734277,-2.324571,326.699800,55.815980,190.607300
0.9751,0.035927,1.565585,0.295029,31.217160,289.801500,351.241500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.307864,1.733914,-2.324987,326.699300,55.821820,190.594500
0.9864,0.036388,1.566172,0.295040,31.114560,290.055700,351.415900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308071,1.733604,-2.325405,326.697200,55.827750,190.584000
0.9974,0.036951,1.566716,0.295097,31.041120,290.307300,351.587000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308228,1.733361,-2.325735,326.694800,55.833530,190.573300
1.0083,0.037561,1.567247,0.295180,31.021720,290.582300,351.795400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308379,1.733144,-2.326101,326.693200,55.838330,190.564300
1.0202,0.038253,1.567775,0.295306,30.984910,290.858200,352.027600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308486,1.732995,-2.326372,326.690800,55.841420,190.557200
1.0310,0.039050,1.568289,0.295507,30.909130,291.095300,352.252500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308657,1.732956,-2.326601,326.690900,55.843030,190.553200
1.0418,0.039868,1.568789,0.295737,30.838640,291.360000,352.444300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308768,1.732942,-2.326757,326.691100,55.844430,190.548800
1.0540,0.040820,1.569255,0.296033,30.771930,291.616200,352.581700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308812,1.732862,-2.327073,326.686900,55.847340,190.542500
1.0754,0.043086,1.570011,0.296782,30.740310,292.299000,352.863800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308871,1.732770,-2.327627,326.679400,55.850340,190.535000
1.0865,0.044313,1.570334,0.297138,30.731950,292.629900,353.020700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308872,1.732779,-2.327946,326.674000,55.851450,190.530500
1.0978,0.045567,1.570718,0.297472,30.690170,292.907400,353.214100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308867,1.732795,-2.328247,326.668500,55.853570,190.527400
1.1085,0.046728,1.571164,0.297754,30.584330,293.078500,353.354000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308865,1.732810,-2.328475,326.665800,55.852960,190.525400
1.1202,0.047885,1.571625,0.298055,30.377450,293.137300,353.374100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308858,1.732844,-2.328670,326.662500,55.853210,190.524000
1.1308,0.049015,1.572097,0.298312,30.163690,293.239000,353.360000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308849,1.732885,-2.328882,326.659500,55.851170,190.523700
1.1422,0.050164,1.572534,0.298622,29.931500,293.323400,353.350500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308847,1.732958,-2.328976,326.658800,55.850310,190.522400
1.1533,0.051368,1.573027,0.298936,29.771770,293.473500,353.403700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308845,1.733087,-2.329039,326.657500,55.848920,190.524800
1.1651,0.052480,1.573490,0.299197,29.577040,293.692000,353.553300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308816,1.733178,-2.329231,326.655000,55.847900,190.524900
1.1754,0.053570,1.574000,0.299423,29.328040,293.882700,353.730000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308780,1.733245,-2.329477,326.650200,55.846730,190.523100
1.1870,0.054486,1.574555,0.299552,29.001990,294.004200,353.961200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308755,1.733278,-2.329634,326.648000,55.846950,190.521500
1.1976,0.055435,1.575121,0.299617,28.626790,294.072600,354.156900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308724,1.733324,-2.329801,326.645900,55.846200,190.519600
1.2087,0.056198,1.575661,0.299525,28.203470,294.060000,354.260800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308705,1.733361,-2.329911,326.644700,55.844520,190.520600
1.2202,0.056963,1.576268,0.299333,27.830730,294.041400,354.312400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308687,1.733394,-2.330038,326.642300,55.843070,190.520100
1.2309,0.057651,1.576825,0.298943,27.439220,294.025400,354.435900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308670,1.733417,-2.330168,326.640700,55.842930,190.519800
1.2417,0.058305,1.577339,0.298394,27.040410,293.974600,354.623000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308668,1.733435,-2.330262,326.638100,55.842250,190.518900
1.2533,0.059039,1.577877,0.297733,26.638120,293.877000,354.859600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308666,1.733457,-2.330375,326.637100,55.841120,190.517600
1.2641,0.059646,1.578456,0.296766,26.257150,293.743900,355.156700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308663,1.733473,-2.330459,326.637500,55.837540,190.518700
1.2753,0.060296,1.579028,0.295663,25.836150,293.499500,355.349000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308657,1.733526,-2.330551,326.636100,55.836970,190.517400
1.2867,0.060832,1.579563,0.294232,25.416700,293.146500,355.479900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308644,1.733637,-2.330655,326.635700,55.835130,190.517700
1.2983,0.061395,1.580094,0.292629,25.008370,292.699600,355.481000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308667,1.733674,-2.330672,326.636500,55.832520,190.517600
1.3089,0.061991,1.580579,0.290671,24.620700,292.245400,355.441400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308680,1.733662,-2.330703,326.636100,55.829570,190.517700
1.3210,0.062690,1.581068,0.288646,24.270440,291.692000,355.386200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308688,1.733643,-2.330712,326.637700,55.826930,190.518900
1.3416,0.064022,1.581872,0.283774,23.604200,290.673600,355.485500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308713,1.733581,-2.330745,326.637800,55.821670,190.519300
1.3532,0.064937,1.582308,0.281247,23.303520,290.193300,355.623400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308708,1.733611,-2.330812,326.638800,55.820870,190.520300
1.3641,0.065749,1.582786,0.278581,23.045900,289.710700,355.767400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308688,1.733707,-2.330896,326.638500,55.820790,190.520700
1.3760,0.066590,1.583307,0.275882,22.773160,289.277200,355.951000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308687,1.733732,-2.330870,326.638500,55.818360,190.520600
1.3874,0.067420,1.583903,0.273095,22.501370,288.856000,356.134300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308707,1.733674,-2.330765,326.639900,55.813740,190.524100
