time,frame_id,marker_id,pos_x,pos_y,pos_z
62.5425,0,8248,-0.007008,0.013060,0.640018
62.5425,0,8251,0.009807,0.002698,-0.002705
62.5542,0,8202,1.389899,0.031688,0.058196
62.5542,0,8248,-0.007019,0.013056,0.640021
62.5542,0,8251,0.009802,0.002690,-0.002713
62.5648,0,8202,1.389892,0.031693,0.058201
62.5648,0,8248,-0.007018,0.013049,0.640023
62.5648,0,8251,0.009792,0.002694,-0.002708
62.5766,0,8202,1.389883,0.031696,0.058198
62.5766,0,8248,-0.007024,0.013062,0.640010
62.5766,0,8251,0.009792,0.002688,-0.002722
62.5873,0,8202,1.389892,0.031707,0.058194
62.5873,0,8248,-0.007030,0.013058,0.640014
62.5873,0,8251,0.009786,0.002696,-0.002716
62.5983,0,8202,1.389882,0.031709,0.058197
62.5983,0,8248,-0.007018,0.013055,0.640014
62.5983,0,8251,0.009786,0.002688,-0.002717
62.6093,0,8202,1.389882,0.031691,0.058196
62.6093,0,8248,-0.007026,0.013056,0.640016
62.6093,0,8251,0.009784,0.002701,-0.002717
62.6093,0,8289,0.819504,0.291810,0.299025
62.6093,0,8290,0.813184,0.337185,0.328198
62.6093,0,8291,0.777281,0.350221,0.310380
62.6093,0,8292,0.410607,-0.059034,0.010006
62.6215,0,8202,1.389874,0.031709,0.058194
62.6215,0,8248,-0.007041,0.013056,0.640012
62.6215,0,8251,0.009776,0.002703,-0.002728
62.6316,0,8202,1.389867,0.031679,0.058174
62.6316,0,8248,-0.007047,0.013065,0.640006
62.6316,0,8251,0.009765,0.002691,-0.002723
62.6430,0,8202,1.389849,0.031698,0.058182
62.6430,0,8248,-0.007055,0.013053,0.640006
62.6430,0,8251,0.009752,0.002701,-0.002722
62.6540,0,8202,1.389841,0.031664,0.058168
62.6540,0,8248,-0.007066,0.013060,0.640016
62.6540,0,8251,0.009742,0.002707,-0.002728
62.6647,0,8202,1.389844,0.031694,0.058184
62.6647,0,8248,-0.007071,0.013074,0.640002
