time,frame_id,marker_id,pos_x,pos_y,pos_z
53.0430,0,6767,1.298772,-0.030894,0.743684
53.0538,0,6650,0.028105,0.016706,-0.009487
53.0538,0,6683,1.396157,-0.005150,0.123097
53.0538,0,6707,0.045529,-0.008729,0.560632
53.0538,0,6767,1.298772,-0.030902,0.743686
53.0648,0,6650,0.028104,0.016721,-0.009476
53.0648,0,6683,1.396155,-0.005142,0.123100
53.0648,0,6707,0.046227,-0.008091,0.561069
53.0648,0,6767,1.298781,-0.030869,0.743714
53.0762,0,6650,0.028112,0.016713,-0.009486
53.0762,0,6683,1.396152,-0.005141,0.123098
53.0762,0,6707,0.045464,-0.008786,0.560609
53.0762,0,6767,1.298779,-0.030871,0.743694
53.0870,0,6650,0.028110,0.016714,-0.009482
53.0870,0,6683,1.396164,-0.005118,0.123113
53.0870,0,6707,0.046498,-0.007865,0.561162
53.0870,0,6767,1.298773,-0.030890,0.743691
53.0982,0,6650,0.028112,0.016713,-0.009484
53.0982,0,6683,1.396165,-0.005107,0.123118
53.0982,0,6707,0.046419,-0.007944,0.561145
53.0982,0,6767,1.298776,-0.030891,0.743700
53.1094,0,6650,0.028106,0.016698,-0.009488
53.1094,0,6683,1.396155,-0.005124,0.123112
53.1094,0,6707,0.046335,-0.008020,0.561094
53.1094,0,6767,1.298779,-0.030891,0.743692
53.1205,0,6650,0.028104,0.016714,-0.009477
53.1205,0,6683,1.396163,-0.005131,0.123115
53.1205,0,6707,0.045723,-0.008572,0.560724
53.1205,0,6767,1.298773,-0.030900,0.743683
53.1316,0,6650,0.028106,0.016713,-0.009485
53.1316,0,6683,1.396166,-0.005119,0.123118
53.1316,0,6707,0.046314,-0.008013,0.561108
53.1316,0,6767,1.298768,-0.030906,0.743694
53.1426,0,6650,0.028109,0.016718,-0.009476
53.1426,0,6683,1.396154,-0.005132,0.123097
53.1426,0,6707,0.045705,-0.008586,0.560706
53.1426,0,6767,1.298778,-0.030882,0.743705
53.1542,0,6650,0.028107,0.016712,-0.009478
53.1542,0,6683,1.396157,-0.005146,0.123103
53.1542,0,6707,0.046375,-0.007959,0.561124
53.1542,0,6767,1.298771,-0.030901,0.743711
53.1650,0,6650,0.028111,0.016713,-0.009487
53.1650,0,6683,1.396159,-0.005128,0.123107
53.1650,0,6707,0.046253,-0.008069,0.561082
53.1650,0,6767,1.298768,-0.030902,0.743695
53.1761,0,6650,0.028115,0.016720,-0.009476
53.1761,0,6683,1.396166,-0.005110,0.123121
53.1761,0,6707,0.041494,-0.012341,0.557618
53.1761,0,6767,1.298776,-0.030890,0.743696
53.1869,0,6650,0.028114,0.016705,-0.009485
53.1869,0,6683,1.396160,-0.005126,0.123109
53.1869,0,6707,0.046335,-0.007974,0.561114
53.1869,0,6767,1.298775,-0.030900,0.743686
53.1982,0,6650,0.028111,0.016712,-0.009487
53.1982,0,6683,1.396160,-0.005136,0.123109
53.1982,0,6707,0.046473,-0.007898,0.561147
53.1982,0,6767,1.298786,-0.030876,0.743696
53.2094,0,6650,0.028108,0.016705,-0.009487
53.2094,0,6683,1.396159,-0.005134,0.123104
53.2094,0,6707,0.046404,-0.007946,0.561147
53.2094,0,6767,1.298773,-0.030890,0.743703
53.2206,0,6650,0.028108,0.016715,-0.009482
