time,frame_id,marker_id,pos_x,pos_y,pos_z
8,2786,8995,7253,0.408750,0.992000,0.600000
8,2870,8996,7251,0.000000,1.400000,0.600000
8,2870,8996,7252,0.204375,1.196000,0.600000
8,2870,8996,7253,0.408750,0.992000,0.600000
8,2955,8997,7251,0.000000,1.400000,0.600000
8,2955,8997,7252,0.204375,1.196000,0.600000
8,2955,8997,7253,0.408750,0.992000,0.600000
8,3106,8998,7251,0.000000,1.400000,0.600000
8,3106,8998,7252,0.204375,1.196000,0.600000
8,3106,8998,7253,0.408750,0.992000,0.600000
8,3162,8999,7251,0.000000,1.400000,0.600000
8,3162,8999,7252,0.204375,1.196000,0.600000
8,3162,8999,7253,0.408750,0.992000,0.600000
8,3291,9000,7251,0.000000,1.400000,0.600000
8,3291,9000,7252,0.204375,1.196000,0.600000
8,3291,9000,7253,0.408750,0.992000,0.600000
8,3350,9001,7251,0.000000,1.400000,0.600000
8,3350,9001,7252,0.204375,1.196000,0.600000
8,3350,9001,7253,0.408750,0.992000,0.600000
8,3518,9002,7251,0.000000,1.400000,0.600000
8,3518,9002,7252,0.204375,1.196000,0.600000
8,3518,9002,7253,0.408750,0.992000,0.600000
8,3564,9003,7251,0.000000,1.400000,0.600000
8,3564,9003,7252,0.204375,1.196000,0.600000
8,3564,9003,7253,0.408750,0.992000,0.600000
8,3670,9004,7251,0.000000,1.400000,0.600000
8,3670,9004,7252,0.204375,1.196000,0.600000
8,3670,9004,7253,0.408750,0.992000,0.600000
8,3809,9005,7251,0.000000,1.400000,0.600000
8,3809,9005,7252,0.204375,1.196000,0.600000
8,3809,9005,7253,0.408750,0.992000,0.600000
8,3887,9006,7251,0.000000,1.400000,0.600000
8,3887,9006,7252,0.204375,1.196000,0.600000
8,3887,9006,7253,0.408750,0.992000,0.600000
8,4081,9008,7251,0.000000,1.400000,0.600000
8,4081,9008,7252,0.204375,1.196000,0.600000
8,4081,9008,7253,0.408750,0.992000,0.600000
8,4243,9009,7251,0.000000,1.400000,0.600000
8,4243,9009,7252,0.204375,1.196000,0.600000
8,4243,9009,7253,0.408750,0.992000,0.600000
8,4320,9010,7251,0.000000,1.400000,0.600000
8,4320,9010,7252,0.204375,1.196000,0.600000
8,4320,9010,7253,0.408750,0.992000,0.600000
8,4431,9011,7251,0.000000,1.400000,0.600000
